precinct,district,parish
01/05,5,Bossier
04/07A,5,Bossier
04/07B,5,Bossier
04/08B -1,5,Bossier
04/08B -2,5,Bossier
04/08C,5,Bossier
04/08E,5,Bossier
04/08G,5,Bossier
04/09,5,Bossier
04/10 -1,5,Bossier
04/10 -2,5,Bossier
00/09-01,5,Caddo
00/09-04,5,Caddo
00/09-05,5,Caddo
00/09-06,5,Caddo
00/09-07,5,Caddo
00/09-09,5,Caddo
00/09-10,5,Caddo
00/09-11,5,Caddo
00/09-12,5,Caddo
00/09-13,5,Caddo
*ALL/*ALL,5,Red River
00/04-03,6,Caddo
00/04-04,6,Caddo
00/04-05,6,Caddo
00/04-06,6,Caddo
00/04-07,6,Caddo
00/04-08,6,Caddo
00/04-09,6,Caddo
00/04-10,6,Caddo
00/05-10,6,Caddo
00/06-01,6,Caddo
00/08-01,6,Caddo
00/08-02,6,Caddo
00/08-03,6,Caddo
00/08-04,6,Caddo
00/08-05,6,Caddo
00/08-06,6,Caddo
00/08-07,6,Caddo
00/08-08,6,Caddo
00/08-09,6,Caddo
00/09-02,6,Caddo
00/09-03,6,Caddo
00/09-08,6,Caddo
00/10-02,6,Caddo
00/11-03,7,Caddo
00/11-07,7,Caddo
00/11-08,7,Caddo
*ALL/*ALL,7,De Soto
00/3-5,7,Sabine
00/6-2,7,Sabine
00/6-3,7,Sabine
00/7-1,7,Sabine
00/7-2,7,Sabine
00/7-3,7,Sabine
00/7-4,7,Sabine
00/7-5,7,Sabine
00/8-1,7,Sabine
00/8-2,7,Sabine
00/8-3,7,Sabine
00/9-1,7,Sabine
00/9-2,7,Sabine
00/9-3,7,Sabine
00/9-4,7,Sabine
00/9-5,7,Sabine
02/01,8,Bossier
02/01A,8,Bossier
02/02,8,Bossier
02/04 -1,8,Bossier
02/04 -2,8,Bossier
02/07,8,Bossier
02/09,8,Bossier
02/10,8,Bossier
02/11,8,Bossier
02/17A,8,Bossier
02/18B,8,Bossier
02/18C -1,8,Bossier
02/18C -2,8,Bossier
02/18F,8,Bossier
02/18G,8,Bossier
02/18H,8,Bossier
02/18I,8,Bossier
02/19,8,Bossier
02/21A,8,Bossier
02/21B,8,Bossier
02/21C -1,8,Bossier
02/21C -2,8,Bossier
02/21D -1,8,Bossier
02/21D -2,8,Bossier
02/21E,8,Bossier
02/22A -1,8,Bossier
02/22A -2,8,Bossier
02/22B,8,Bossier
02/22C,8,Bossier
01/04,9,Bossier
02/03,9,Bossier
02/03A,9,Bossier
02/14,9,Bossier
02/15,9,Bossier
02/16,9,Bossier
02/17B,9,Bossier
02/20,9,Bossier
04/02,9,Bossier
04/02A,9,Bossier
04/03A,9,Bossier
04/03B,9,Bossier
04/03D,9,Bossier
04/04A -1,9,Bossier
04/04A -2,9,Bossier
04/04B -1,9,Bossier
04/04B -2,9,Bossier
04/05A,9,Bossier
04/06A -1,9,Bossier
04/06A -2,9,Bossier
04/06B,9,Bossier
04/08A,9,Bossier
04/11A,9,Bossier
04/11B -1,9,Bossier
04/11B -2,9,Bossier
04/11C,9,Bossier
02/18D,10,Bossier
03/01,10,Bossier
03/02,10,Bossier
03/03,10,Bossier
03/04,10,Bossier
04/01A,10,Bossier
*ALL/*ALL,10,Webster
01/01,11,Bienville
01/02,11,Bienville
01/07,11,Bienville
02/01,11,Bienville
02/02,11,Bienville
02/03,11,Bienville
03/01,11,Bienville
03/02,11,Bienville
03/03,11,Bienville
03/06,11,Bienville
03/07,11,Bienville
*ALL/*ALL,11,Claiborne
01/01,11,Lincoln
01/02,11,Lincoln
01/03,11,Lincoln
02/01,11,Lincoln
03/01,11,Lincoln
03/03,11,Lincoln
09/01,11,Lincoln
09/02,11,Lincoln
09/03,11,Lincoln
10/01,11,Lincoln
10/02,11,Lincoln
10/04,11,Lincoln
10/05,11,Lincoln
10/06,11,Lincoln
11/01,11,Lincoln
11/03,11,Lincoln
11/04,11,Lincoln
11/05,11,Lincoln
12/01,11,Lincoln
12/02,11,Lincoln
12/03,11,Lincoln
12/04,11,Lincoln
12/06,11,Lincoln
03/02,12,Lincoln
03/04,12,Lincoln
03/05,12,Lincoln
03/06,12,Lincoln
04/01,12,Lincoln
04/02,12,Lincoln
04/03,12,Lincoln
04/04,12,Lincoln
04/05,12,Lincoln
04/06,12,Lincoln
05/01,12,Lincoln
05/02,12,Lincoln
05/03,12,Lincoln
05/04,12,Lincoln
06/01,12,Lincoln
06/02,12,Lincoln
06/03,12,Lincoln
06/04,12,Lincoln
06/05,12,Lincoln
06/06,12,Lincoln
07/01,12,Lincoln
07/02,12,Lincoln
08/01,12,Lincoln
08/02,12,Lincoln
08/03,12,Lincoln
09/04,12,Lincoln
10/03,12,Lincoln
*ALL/*ALL,12,Union
01/03,13,Bienville
01/04,13,Bienville
01/05,13,Bienville
01/06,13,Bienville
03/04,13,Bienville
03/05,13,Bienville
04/01,13,Bienville
04/02,13,Bienville
04/03,13,Bienville
05/01,13,Bienville
05/02,13,Bienville
05/03,13,Bienville
05/04,13,Bienville
06/01,13,Bienville
06/02,13,Bienville
06/03,13,Bienville
06/04,13,Bienville
06/05,13,Bienville
07/01,13,Bienville
07/02,13,Bienville
07/03,13,Bienville
07/04,13,Bienville
*ALL/*ALL,13,Jackson
01/02,13,Natchitoches
02/01,13,Natchitoches
02/02,13,Natchitoches
02/03,13,Natchitoches
02/04,13,Natchitoches
02/05,13,Natchitoches
02/06,13,Natchitoches
02/07,13,Natchitoches
02/07A,13,Natchitoches
02/08,13,Natchitoches
02/09,13,Natchitoches
*ALL/*ALL,13,Winn
00/01,14,Ouachita
00/01A,14,Ouachita
00/02,14,Ouachita
00/04,14,Ouachita
00/05,14,Ouachita
00/06,14,Ouachita
00/07,14,Ouachita
00/36,14,Ouachita
00/42,14,Ouachita
00/43,14,Ouachita
00/50,14,Ouachita
00/59,14,Ouachita
00/60,14,Ouachita
00/61,14,Ouachita
00/62,14,Ouachita
00/63,14,Ouachita
00/64,14,Ouachita
00/71,14,Ouachita
00/75,14,Ouachita
00/76,14,Ouachita
00/77,14,Ouachita
00/78,14,Ouachita
00/32,15,Ouachita
00/33,15,Ouachita
00/38,15,Ouachita
00/39,15,Ouachita
00/40,15,Ouachita
00/41,15,Ouachita
00/44,15,Ouachita
00/44A,15,Ouachita
00/45,15,Ouachita
00/49,15,Ouachita
00/51,15,Ouachita
00/51A,15,Ouachita
00/52,15,Ouachita
00/52A,15,Ouachita
00/53,15,Ouachita
00/54,15,Ouachita
00/55,15,Ouachita
00/56,15,Ouachita
00/56A,15,Ouachita
00/57,15,Ouachita
00/01,16,Morehouse
00/01-1,16,Morehouse
00/03-1,16,Morehouse
00/03-2,16,Morehouse
00/06,16,Morehouse
00/07,16,Morehouse
00/07-1,16,Morehouse
00/08,16,Morehouse
00/12,16,Morehouse
00/13,16,Morehouse
00/13-1,16,Morehouse
00/14,16,Morehouse
00/16,16,Morehouse
00/16-1,16,Morehouse
00/20,16,Morehouse
00/21,16,Morehouse
00/21-1,16,Morehouse
00/31,16,Morehouse
00/31-1,16,Morehouse
00/32,16,Morehouse
00/35,16,Morehouse
00/37,16,Morehouse
00/39-1,16,Morehouse
00/39-2,16,Morehouse
00/03,16,Ouachita
00/08,16,Ouachita
00/09,16,Ouachita
00/09A,16,Ouachita
00/65,16,Ouachita
00/65A,16,Ouachita
00/66,16,Ouachita
00/67,16,Ouachita
00/68,16,Ouachita
00/69,16,Ouachita
00/70,16,Ouachita
00/72,16,Ouachita
00/73,16,Ouachita
00/74,16,Ouachita
00/79,16,Ouachita
00/10,17,Ouachita
00/11,17,Ouachita
00/12,17,Ouachita
00/13,17,Ouachita
00/14,17,Ouachita
00/15,17,Ouachita
00/16,17,Ouachita
00/17,17,Ouachita
00/18,17,Ouachita
00/19,17,Ouachita
00/20,17,Ouachita
00/21,17,Ouachita
00/22,17,Ouachita
00/23,17,Ouachita
00/24,17,Ouachita
00/27,17,Ouachita
00/28,17,Ouachita
00/30,17,Ouachita
00/31,17,Ouachita
00/34,17,Ouachita
00/35,17,Ouachita
00/37,17,Ouachita
00/46,17,Ouachita
00/47,17,Ouachita
00/48,17,Ouachita
00/31,18,Iberville
00/32,18,Iberville
*ALL/*ALL,18,Pointe Coupee
00/01A,18,West Baton Rouge
00/04A,18,West Baton Rouge
00/18,18,West Baton Rouge
00/19,18,West Baton Rouge
00/20,18,West Baton Rouge
00/21,18,West Baton Rouge
00/22,18,West Baton Rouge
*ALL/*ALL,18,West Feliciana
00/04,19,East Carroll
00/15,19,East Carroll
00/17,19,East Carroll
00/18,19,East Carroll
00/01,19,Madison
00/02,19,Madison
00/03,19,Madison
00/04,19,Madison
00/05,19,Madison
00/06,19,Madison
00/07,19,Madison
00/08,19,Madison
00/09,19,Madison
00/10,19,Madison
00/14,19,Madison
00/23,19,Morehouse
00/24,19,Morehouse
00/26-1,19,Morehouse
00/27,19,Morehouse
00/27-1,19,Morehouse
00/29,19,Morehouse
00/40,19,Morehouse
00/42,19,Morehouse
00/45,19,Morehouse
00/47,19,Morehouse
00/48,19,Morehouse
00/50,19,Morehouse
00/51,19,Morehouse
00/53,19,Morehouse
00/53-1,19,Morehouse
