precinct,district,parish
00/54,2,Ascension
00/55,2,Ascension
00/57,2,Ascension
01/01,2,Assumption
01/02,2,Assumption
01/03,2,Assumption
02/01,2,Assumption
02/05,2,Assumption
04/01,2,Assumption
04/03,2,Assumption
05/01,2,Assumption
05/02,2,Assumption
05/05,2,Assumption
06/01,2,Assumption
06/01 A,2,Assumption
06/02,2,Assumption
06/03,2,Assumption
07/01,2,Assumption
07/01 A,2,Assumption
00/01,2,Iberville
00/03,2,Iberville
00/06,2,Iberville
00/07,2,Iberville
00/09,2,Iberville
00/10,2,Iberville
00/10B,2,Iberville
00/11,2,Iberville
00/12,2,Iberville
00/13,2,Iberville
00/14A,2,Iberville
00/15,2,Iberville
00/16,2,Iberville
00/19,2,Iberville
00/20,2,Iberville
00/21 P,2,Iberville
00/22 P,2,Iberville
01/02,2,Lafourche
01/04,2,Lafourche
01/06,2,Lafourche
02/01,2,Lafourche
02/01A,2,Lafourche
02/03,2,Lafourche
02/05,2,Lafourche
02/07,2,Lafourche
02/09,2,Lafourche
02/10,2,Lafourche
02/11,2,Lafourche
02/16,2,Lafourche
05/01,2,Lafourche
05/01A,2,Lafourche
05/03,2,Lafourche
00/01,2,St. James
00/02,2,St. James
00/05,2,St. James
00/06,2,St. James
00/07,2,St. James
00/12,2,St. James
00/13,2,St. James
00/14,2,St. James
00/15,2,St. James
00/16,2,St. James
00/17,2,St. James
00/18,2,St. James
00/19,2,St. James
01/01,2,St. John The Baptist
01/02,2,St. John The Baptist
01/03,2,St. John The Baptist
01/05,2,St. John The Baptist
02/02,2,St. John The Baptist
02/05,2,St. John The Baptist
03/02,2,St. John The Baptist
03/04,2,St. John The Baptist
03/07,2,St. John The Baptist
04/01,2,St. John The Baptist
04/03,2,St. John The Baptist
05/01,2,St. John The Baptist
05/02,2,St. John The Baptist
05/03,2,St. John The Baptist
06/02,2,St. John The Baptist
06/03,2,St. John The Baptist
06/04,2,St. John The Baptist
07/01,2,St. John The Baptist
07/03,2,St. John The Baptist
07/04,2,St. John The Baptist
00/01B,2,West Baton Rouge
00/01C,2,West Baton Rouge
00/01D,2,West Baton Rouge
00/01E,2,West Baton Rouge
00/04B,2,West Baton Rouge
00/06,2,West Baton Rouge
00/07B,2,West Baton Rouge
00/08,2,West Baton Rouge
00/09,2,West Baton Rouge
00/10,2,West Baton Rouge
00/11,2,West Baton Rouge
00/13A,2,West Baton Rouge
00/13B,2,West Baton Rouge
00/14A,2,West Baton Rouge
00/15,2,West Baton Rouge
00/17,2,West Baton Rouge
06/01,3,Orleans
06/02,3,Orleans
07/01,3,Orleans
07/04,3,Orleans
07/23,3,Orleans
07/24,3,Orleans
07/25,3,Orleans
07/25A,3,Orleans
07/28A,3,Orleans
07/29,3,Orleans
07/30,3,Orleans
07/32,3,Orleans
07/33,3,Orleans
07/35,3,Orleans
07/37,3,Orleans
07/40,3,Orleans
08/01,3,Orleans
08/02,3,Orleans
08/04,3,Orleans
08/06,3,Orleans
08/07,3,Orleans
08/08,3,Orleans
08/13,3,Orleans
08/14,3,Orleans
08/15,3,Orleans
08/19,3,Orleans
08/20,3,Orleans
08/21,3,Orleans
08/22,3,Orleans
08/23,3,Orleans
08/24,3,Orleans
08/25,3,Orleans
08/26,3,Orleans
08/27,3,Orleans
09/01,3,Orleans
09/03,3,Orleans
09/04,3,Orleans
09/05,3,Orleans
09/06,3,Orleans
09/07,3,Orleans
09/08,3,Orleans
09/09,3,Orleans
09/10,3,Orleans
09/11,3,Orleans
09/12,3,Orleans
09/13,3,Orleans
09/14,3,Orleans
09/15,3,Orleans
09/16,3,Orleans
09/17,3,Orleans
09/19,3,Orleans
09/21,3,Orleans
09/23,3,Orleans
09/28,3,Orleans
09/29,3,Orleans
09/30,3,Orleans
09/30A,3,Orleans
09/31,3,Orleans
09/31A,3,Orleans
09/31B,3,Orleans
09/31D P,3,Orleans
09/32,3,Orleans
09/39,3,Orleans
09/39B,3,Orleans
09/40,3,Orleans
09/40A,3,Orleans
09/40C,3,Orleans
09/41,3,Orleans
09/41A,3,Orleans
