precinct,district,parish
01/027,14,East Baton Rouge
01/028,14,East Baton Rouge
01/029,14,East Baton Rouge
01/030,14,East Baton Rouge
01/031 A,14,East Baton Rouge
01/031 B,14,East Baton Rouge
01/032 A,14,East Baton Rouge
01/032 B,14,East Baton Rouge
01/036,14,East Baton Rouge
01/037 A,14,East Baton Rouge
01/037 B,14,East Baton Rouge
01/038 A,14,East Baton Rouge
01/038 B,14,East Baton Rouge
01/039,14,East Baton Rouge
01/045,14,East Baton Rouge
01/046,14,East Baton Rouge
01/050,14,East Baton Rouge
01/051,14,East Baton Rouge
01/057,14,East Baton Rouge
01/058 A,14,East Baton Rouge
01/058 B,14,East Baton Rouge
01/059,14,East Baton Rouge
01/061,14,East Baton Rouge
01/062,14,East Baton Rouge
01/063 A,14,East Baton Rouge
01/063 B,14,East Baton Rouge
01/064,14,East Baton Rouge
01/065,14,East Baton Rouge
01/067,14,East Baton Rouge
01/068,14,East Baton Rouge
01/073 A,14,East Baton Rouge
01/073 B,14,East Baton Rouge
01/076,14,East Baton Rouge
01/085 A,14,East Baton Rouge
01/085 B,14,East Baton Rouge
01/100 A,14,East Baton Rouge
01/100 B,14,East Baton Rouge
01/102,14,East Baton Rouge
01/107,14,East Baton Rouge
03/005,14,East Baton Rouge
03/020 A,14,East Baton Rouge
03/020 B,14,East Baton Rouge
03/023 A,14,East Baton Rouge
03/023 B,14,East Baton Rouge
03/044 A,14,East Baton Rouge
03/044 B,14,East Baton Rouge
03/050 A,14,East Baton Rouge
03/050 B,14,East Baton Rouge
03/055 A,14,East Baton Rouge
03/055 B,14,East Baton Rouge
03/056,14,East Baton Rouge
03/057,14,East Baton Rouge
03/063,14,East Baton Rouge
03/065,14,East Baton Rouge
03/069 A,14,East Baton Rouge
03/069 B,14,East Baton Rouge
03/070,14,East Baton Rouge
03/075,14,East Baton Rouge
03/076,14,East Baton Rouge
01/002 A,15,East Baton Rouge
01/002 B,15,East Baton Rouge
01/009,15,East Baton Rouge
01/011,15,East Baton Rouge
01/020 A,15,East Baton Rouge
01/020 B,15,East Baton Rouge
01/054,15,East Baton Rouge
01/055 A,15,East Baton Rouge
01/055 B,15,East Baton Rouge
01/060 A,15,East Baton Rouge
01/060 B,15,East Baton Rouge
01/070 A,15,East Baton Rouge
01/070 B,15,East Baton Rouge
01/071 A,15,East Baton Rouge
01/071 B,15,East Baton Rouge
01/077 A,15,East Baton Rouge
01/077 B,15,East Baton Rouge
01/078 A,15,East Baton Rouge
01/078 B,15,East Baton Rouge
01/081 A,15,East Baton Rouge
01/081 B,15,East Baton Rouge
01/082 A,15,East Baton Rouge
01/082 B,15,East Baton Rouge
01/083 A,15,East Baton Rouge
01/083 B,15,East Baton Rouge
01/084,15,East Baton Rouge
01/086 A,15,East Baton Rouge
01/086 B,15,East Baton Rouge
01/087 A,15,East Baton Rouge
01/087 B,15,East Baton Rouge
01/088,15,East Baton Rouge
01/091 A,15,East Baton Rouge
01/091 B,15,East Baton Rouge
01/092 A,15,East Baton Rouge
01/092 B,15,East Baton Rouge
01/093,15,East Baton Rouge
01/094,15,East Baton Rouge
01/095 A,15,East Baton Rouge
01/095 B,15,East Baton Rouge
01/096,15,East Baton Rouge
01/097,15,East Baton Rouge
01/101 A,15,East Baton Rouge
01/101 B,15,East Baton Rouge
01/104 A,15,East Baton Rouge
01/104 B,15,East Baton Rouge
02/001 A,15,East Baton Rouge
02/001 B,15,East Baton Rouge
02/002 A,15,East Baton Rouge
02/002 B,15,East Baton Rouge
02/003,15,East Baton Rouge
02/004,15,East Baton Rouge
02/005,15,East Baton Rouge
02/009 A,15,East Baton Rouge
02/009 B,15,East Baton Rouge
02/010 A,15,East Baton Rouge
02/010 B,15,East Baton Rouge
02/011,15,East Baton Rouge
02/012 A,15,East Baton Rouge
02/012 B,15,East Baton Rouge
02/013 A,15,East Baton Rouge
02/013 B,15,East Baton Rouge
02/014 A,15,East Baton Rouge
02/014 B,15,East Baton Rouge
02/015,15,East Baton Rouge
02/016 A,15,East Baton Rouge
02/016 B,15,East Baton Rouge
02/017 A,15,East Baton Rouge
02/017 B,15,East Baton Rouge
02/018 A,15,East Baton Rouge
02/018 B,15,East Baton Rouge
02/019,15,East Baton Rouge
02/020,15,East Baton Rouge
02/022 A,15,East Baton Rouge
02/022 B,15,East Baton Rouge
02/023 A,15,East Baton Rouge
02/023 B,15,East Baton Rouge
02/024,15,East Baton Rouge
02/025 A,15,East Baton Rouge
02/025 B,15,East Baton Rouge
02/027 A,15,East Baton Rouge
02/027 B,15,East Baton Rouge
02/030 A,15,East Baton Rouge
02/030 B,15,East Baton Rouge
02/031,15,East Baton Rouge
02/034,15,East Baton Rouge
02/038,15,East Baton Rouge
03/008,15,East Baton Rouge
03/024 A,15,East Baton Rouge
03/024 B,15,East Baton Rouge
03/042,15,East Baton Rouge
03/054,15,East Baton Rouge
01/008,16,East Baton Rouge
01/012 A,16,East Baton Rouge
01/012 B,16,East Baton Rouge
01/033,16,East Baton Rouge
01/034 A,16,East Baton Rouge
01/034 B,16,East Baton Rouge
01/035,16,East Baton Rouge
01/040,16,East Baton Rouge
01/041 A,16,East Baton Rouge
01/041 B,16,East Baton Rouge
01/042 A,16,East Baton Rouge
01/042 B,16,East Baton Rouge
01/043,16,East Baton Rouge
01/044,16,East Baton Rouge
01/047 A,16,East Baton Rouge
01/047 B,16,East Baton Rouge
01/048 A,16,East Baton Rouge
01/048 B,16,East Baton Rouge
01/049 A,16,East Baton Rouge
01/049 B,16,East Baton Rouge
01/052 A,16,East Baton Rouge
01/052 B,16,East Baton Rouge
01/053 A,16,East Baton Rouge
01/053 B,16,East Baton Rouge
01/056,16,East Baton Rouge
01/066 A,16,East Baton Rouge
01/066 B,16,East Baton Rouge
01/069 A,16,East Baton Rouge
01/069 B,16,East Baton Rouge
01/072 A,16,East Baton Rouge
01/072 B,16,East Baton Rouge
01/074 A,16,East Baton Rouge
01/074 B,16,East Baton Rouge
01/075 A,16,East Baton Rouge
01/075 B,16,East Baton Rouge
01/079,16,East Baton Rouge
01/080 A,16,East Baton Rouge
01/080 B,16,East Baton Rouge
01/089,16,East Baton Rouge
01/090 A,16,East Baton Rouge
01/090 B,16,East Baton Rouge
01/099 A,16,East Baton Rouge
01/099 B,16,East Baton Rouge
01/103 A,16,East Baton Rouge
01/103 B,16,East Baton Rouge
01/105,16,East Baton Rouge
01/106,16,East Baton Rouge
03/004 A,16,East Baton Rouge
03/004 B,16,East Baton Rouge
03/007 A,16,East Baton Rouge
03/007 B,16,East Baton Rouge
03/011,16,East Baton Rouge
03/013,16,East Baton Rouge
03/017 A,16,East Baton Rouge
03/017 B,16,East Baton Rouge
03/018 A,16,East Baton Rouge
03/018 B,16,East Baton Rouge
03/019 A,16,East Baton Rouge
03/019 B,16,East Baton Rouge
03/027 A,16,East Baton Rouge
03/027 B,16,East Baton Rouge
03/029 A,16,East Baton Rouge
03/029 B,16,East Baton Rouge
03/031 A,16,East Baton Rouge
03/031 B,16,East Baton Rouge
03/035 A,16,East Baton Rouge
03/035 B,16,East Baton Rouge
03/036,16,East Baton Rouge
03/039,16,East Baton Rouge
03/040 A,16,East Baton Rouge
03/040 B,16,East Baton Rouge
03/041 A,16,East Baton Rouge
03/041 B,16,East Baton Rouge
03/048 A,16,East Baton Rouge
03/048 B,16,East Baton Rouge
03/049 A,16,East Baton Rouge
03/049 B,16,East Baton Rouge
03/051,16,East Baton Rouge
03/052 A,16,East Baton Rouge
03/052 B,16,East Baton Rouge
03/059,16,East Baton Rouge
03/060 A,16,East Baton Rouge
03/060 B,16,East Baton Rouge
03/062,16,East Baton Rouge
03/064,16,East Baton Rouge
03/067,16,East Baton Rouge
03/068,16,East Baton Rouge
03/074,16,East Baton Rouge
02/029,17,East Baton Rouge
02/032,17,East Baton Rouge
02/035,17,East Baton Rouge
02/036 A,17,East Baton Rouge
02/036 B,17,East Baton Rouge
02/037,17,East Baton Rouge
*ALL/*ALL,17,East Feliciana
00/04,17,Iberville
00/05,17,Iberville
00/14,17,Iberville
00/15A,17,Iberville
00/17,17,Iberville
00/18,17,Iberville
00/21 P,17,Iberville
00/22 P,17,Iberville
00/24,17,Iberville
00/25,17,Iberville
00/26,17,Iberville
00/27,17,Iberville
00/28,17,Iberville
00/29,17,Iberville
00/31,17,Iberville
00/32,17,Iberville
00/122,17,Lafayette
*ALL/*ALL,17,Pointe Coupee
01/1,17,St. Helena
00/01,17,St. Landry
00/01A,17,St. Landry
00/01B,17,St. Landry
00/01C,17,St. Landry
00/01D,17,St. Landry
00/02,17,St. Landry
00/02A,17,St. Landry
00/02B,17,St. Landry
00/02C,17,St. Landry
00/03,17,St. Landry
00/04,17,St. Landry
00/04A,17,St. Landry
00/04B,17,St. Landry
00/05,17,St. Landry
00/07,17,St. Landry
00/07A,17,St. Landry
00/13,17,St. Landry
00/13A,17,St. Landry
00/14,17,St. Landry
00/14A,17,St. Landry
00/14B,17,St. Landry
00/15,17,St. Landry
00/16,17,St. Landry
00/16A,17,St. Landry
00/17,17,St. Landry
00/27,17,St. Landry
00/28,17,St. Landry
00/29,17,St. Landry
00/29A,17,St. Landry
00/30,17,St. Landry
00/30A,17,St. Landry
00/30B,17,St. Landry
00/31,17,St. Landry
00/37,17,St. Landry
00/37A,17,St. Landry
00/38,17,St. Landry
00/39,17,St. Landry
00/39A,17,St. Landry
00/40,17,St. Landry
00/39,17,St. Martin
00/42,17,St. Martin
00/43,17,St. Martin
00/01A,17,West Baton Rouge
00/02A,17,West Baton Rouge
00/02B,17,West Baton Rouge
00/03,17,West Baton Rouge
00/04A,17,West Baton Rouge
00/05,17,West Baton Rouge
00/07A,17,West Baton Rouge
00/14B,17,West Baton Rouge
00/16,17,West Baton Rouge
00/18,17,West Baton Rouge
00/19,17,West Baton Rouge
00/20,17,West Baton Rouge
00/21,17,West Baton Rouge
00/22,17,West Baton Rouge
00/02,17,West Feliciana
00/02A,17,West Feliciana
00/02B,17,West Feliciana
00/03,17,West Feliciana
00/03A,17,West Feliciana
00/01 A,18,Ascension
00/01 B,18,Ascension
00/02,18,Ascension
00/03,18,Ascension
00/04,18,Ascension
00/05,18,Ascension
00/06,18,Ascension
00/07,18,Ascension
00/08 A,18,Ascension
00/08 B,18,Ascension
00/09,18,Ascension
00/10,18,Ascension
00/11 A,18,Ascension
00/11 B,18,Ascension
00/12,18,Ascension
00/13,18,Ascension
00/14,18,Ascension
00/15,18,Ascension
00/16,18,Ascension
00/17,18,Ascension
00/18,18,Ascension
00/19,18,Ascension
00/20,18,Ascension
00/21,18,Ascension
00/22,18,Ascension
00/23,18,Ascension
00/24,18,Ascension
00/25,18,Ascension
00/26 A,18,Ascension
00/26 B,18,Ascension
00/27,18,Ascension
00/31,18,Ascension
00/32,18,Ascension
00/33,18,Ascension
00/34,18,Ascension
00/35,18,Ascension
00/40,18,Ascension
00/41,18,Ascension
00/42,18,Ascension
00/43,18,Ascension
00/58,18,Ascension
00/61,18,Ascension
00/62,18,Ascension
00/63,18,Ascension
00/64,18,Ascension
00/65,18,Ascension
00/66,18,Ascension
00/68,18,Ascension
00/69,18,Ascension
00/71,18,Ascension
00/72,18,Ascension
00/73,18,Ascension
00/76,18,Ascension
00/77,18,Ascension
00/78,18,Ascension
00/16,18,Livingston
00/17,18,Livingston
00/18,18,Livingston
00/18A,18,Livingston
00/33,18,Livingston
00/34,18,Livingston
00/43,18,Livingston
00/04,18,St. James
00/08,18,St. James
00/09,18,St. James
00/10,18,St. James
00/11,18,St. James
00/22,18,St. James
00/23,18,St. James
00/104,19,Jefferson
00/115,19,Jefferson
00/150A,19,Jefferson
00/150B,19,Jefferson
00/K013A,19,Jefferson
00/K013B,19,Jefferson
00/K014,19,Jefferson
00/K021,19,Jefferson
00/K022,19,Jefferson
00/K023,19,Jefferson
00/K024,19,Jefferson
00/K026 P,19,Jefferson
00/K027,19,Jefferson
00/K028,19,Jefferson
00/K029,19,Jefferson
00/K030,19,Jefferson
00/K031,19,Jefferson
00/K033,19,Jefferson
02/02 A,19,Lafourche
02/02 B,19,Lafourche
02/06,19,Lafourche
02/08,19,Lafourche
02/15,19,Lafourche
03/01,19,Lafourche
03/02,19,Lafourche
03/04,19,Lafourche
03/05,19,Lafourche
03/06,19,Lafourche
04/01,19,Lafourche
06/01,19,Lafourche
06/02,19,Lafourche
06/03,19,Lafourche
06/04,19,Lafourche
06/05,19,Lafourche
07/01,19,Lafourche
07/02,19,Lafourche
07/03,19,Lafourche
07/04,19,Lafourche
08/01,19,Lafourche
*ALL/*ALL,19,St. Charles
01/04,19,St. John The Baptist
01/06,19,St. John The Baptist
01/07,19,St. John The Baptist
02/01,19,St. John The Baptist
02/03,19,St. John The Baptist
02/04,19,St. John The Baptist
03/01,19,St. John The Baptist
03/03,19,St. John The Baptist
04/02,19,St. John The Baptist
04/04,19,St. John The Baptist
04/05,19,St. John The Baptist
05/04,19,St. John The Baptist
05/05,19,St. John The Baptist
06/01,19,St. John The Baptist
06/05,19,St. John The Baptist
07/02,19,St. John The Baptist
02/12 P,20,Lafourche
02/13,20,Lafourche
03/03,20,Lafourche
03/07,20,Lafourche
04/02,20,Lafourche
04/03,20,Lafourche
04/04,20,Lafourche
04/05,20,Lafourche
04/06,20,Lafourche
09/01,20,Lafourche
09/02,20,Lafourche
10/01,20,Lafourche
10/02,20,Lafourche
10/03,20,Lafourche
10/04,20,Lafourche
10/06,20,Lafourche
10/08,20,Lafourche
10/09,20,Lafourche
10/10,20,Lafourche
10/11,20,Lafourche
10/12,20,Lafourche
10/13,20,Lafourche
10/14,20,Lafourche
10/15,20,Lafourche
10/16,20,Lafourche
11/01,20,Lafourche
11/02 A,20,Lafourche
11/02 B,20,Lafourche
11/03,20,Lafourche
11/04,20,Lafourche
11/05,20,Lafourche
00/014,20,Terrebonne
00/015,20,Terrebonne
00/016,20,Terrebonne
00/018,20,Terrebonne
00/019,20,Terrebonne
00/020,20,Terrebonne
00/021,20,Terrebonne
00/023,20,Terrebonne
00/025,20,Terrebonne
00/027,20,Terrebonne
00/029,20,Terrebonne
00/031,20,Terrebonne
00/034 A,20,Terrebonne
00/034 M,20,Terrebonne
00/035,20,Terrebonne
00/038,20,Terrebonne
00/041,20,Terrebonne
00/042,20,Terrebonne
00/043,20,Terrebonne
00/045,20,Terrebonne
00/048,20,Terrebonne
00/049,20,Terrebonne
00/052,20,Terrebonne
00/053,20,Terrebonne
00/055,20,Terrebonne
00/056,20,Terrebonne
00/057,20,Terrebonne
00/058,20,Terrebonne
00/059,20,Terrebonne
00/060,20,Terrebonne
00/062,20,Terrebonne
00/063,20,Terrebonne
00/068,20,Terrebonne
00/069,20,Terrebonne
00/071,20,Terrebonne
00/072,20,Terrebonne
00/073,20,Terrebonne
00/074,20,Terrebonne
00/081,20,Terrebonne
00/083,20,Terrebonne
00/084,20,Terrebonne
00/085,20,Terrebonne
00/088,20,Terrebonne
00/090,20,Terrebonne
00/094,20,Terrebonne
00/095,20,Terrebonne
00/100,20,Terrebonne
00/110,20,Terrebonne
00/115,20,Terrebonne
02/03,21,Assumption
02/04,21,Assumption
03/01,21,Assumption
03/02,21,Assumption
04/04,21,Assumption
05/03,21,Assumption
07/02,21,Assumption
07/03,21,Assumption
08/01,21,Assumption
08/01 A,21,Assumption
09/01,21,Assumption
09/01 A,21,Assumption
08/03,21,Iberia
09/01,21,Iberia
09/04,21,Iberia
10/01,21,Iberia
10/04,21,Iberia
11/01,21,Iberia
11/03,21,Iberia
11/06,21,Iberia
12/01,21,Iberia
12/02,21,Iberia
12/03,21,Iberia
12/04,21,Iberia
01/01,21,Lafourche
01/03,21,Lafourche
01/05,21,Lafourche
02/12 P,21,Lafourche
02/14,21,Lafourche
05/02,21,Lafourche
00/01,21,St. Martin
00/02,21,St. Martin
*ALL/*ALL,21,St. Mary
00/001,21,Terrebonne
00/002,21,Terrebonne
00/005,21,Terrebonne
00/007 A,21,Terrebonne
00/007 L,21,Terrebonne
00/008,21,Terrebonne
00/010,21,Terrebonne
00/011,21,Terrebonne
00/012,21,Terrebonne
00/017,21,Terrebonne
00/028,21,Terrebonne
00/030,21,Terrebonne
00/033,21,Terrebonne
00/037,21,Terrebonne
00/039,21,Terrebonne
00/040,21,Terrebonne
00/051,21,Terrebonne
00/064,21,Terrebonne
00/065,21,Terrebonne
00/067,21,Terrebonne
00/076,21,Terrebonne
00/087,21,Terrebonne
01/01,22,Iberia
01/03,22,Iberia
01/07,22,Iberia
01/08,22,Iberia
02/01,22,Iberia
02/02,22,Iberia
02/03,22,Iberia
03/02,22,Iberia
03/03,22,Iberia
03/04,22,Iberia
03/05,22,Iberia
04/01,22,Iberia
04/02,22,Iberia
04/03,22,Iberia
05/01,22,Iberia
05/02,22,Iberia
05/03,22,Iberia
05/05,22,Iberia
06/01,22,Iberia
06/02,22,Iberia
06/04,22,Iberia
06/05,22,Iberia
07/01,22,Iberia
07/02,22,Iberia
07/04,22,Iberia
07/05,22,Iberia
08/01,22,Iberia
08/02,22,Iberia
09/02,22,Iberia
09/05,22,Iberia
10/02,22,Iberia
10/03,22,Iberia
11/04,22,Iberia
11/05,22,Iberia
13/01,22,Iberia
13/02,22,Iberia
13/03,22,Iberia
13/04,22,Iberia
13/05,22,Iberia
14/01,22,Iberia
14/03,22,Iberia
14/04,22,Iberia
14/05,22,Iberia
00/091,22,Lafayette
00/092,22,Lafayette
00/093,22,Lafayette
00/094,22,Lafayette
00/095,22,Lafayette
00/096,22,Lafayette
00/098,22,Lafayette
00/099,22,Lafayette
00/100,22,Lafayette
00/109,22,Lafayette
00/126,22,Lafayette
00/127,22,Lafayette
00/130,22,Lafayette
00/131,22,Lafayette
00/03,22,St. Martin
00/04,22,St. Martin
00/05,22,St. Martin
00/06,22,St. Martin
00/07,22,St. Martin
00/08,22,St. Martin
00/09,22,St. Martin
00/10,22,St. Martin
00/11,22,St. Martin
00/12,22,St. Martin
00/13,22,St. Martin
00/14,22,St. Martin
00/15,22,St. Martin
00/16,22,St. Martin
00/17,22,St. Martin
00/18,22,St. Martin
00/19,22,St. Martin
00/20,22,St. Martin
00/21,22,St. Martin
00/22,22,St. Martin
00/23,22,St. Martin
00/26,22,St. Martin
00/27,22,St. Martin
00/28,22,St. Martin
00/29,22,St. Martin
00/30,22,St. Martin
00/31,22,St. Martin
00/32,22,St. Martin
00/35,22,St. Martin
00/36,22,St. Martin
00/37,22,St. Martin
00/38,22,St. Martin
00/40,22,St. Martin
00/41,22,St. Martin
00/008,23,Lafayette
00/025,23,Lafayette
00/026,23,Lafayette
00/029,23,Lafayette
00/030,23,Lafayette
00/031,23,Lafayette
00/032,23,Lafayette
00/033,23,Lafayette
00/034,23,Lafayette
00/038,23,Lafayette
00/039,23,Lafayette
00/040,23,Lafayette
00/041,23,Lafayette
00/042,23,Lafayette
00/043,23,Lafayette
00/044,23,Lafayette
00/045,23,Lafayette
00/046,23,Lafayette
00/047,23,Lafayette
00/048,23,Lafayette
00/049,23,Lafayette
00/067,23,Lafayette
00/069,23,Lafayette
00/070,23,Lafayette
00/071,23,Lafayette
00/072,23,Lafayette
00/073,23,Lafayette
00/074,23,Lafayette
00/075,23,Lafayette
00/076,23,Lafayette
00/077,23,Lafayette
00/078,23,Lafayette
00/079,23,Lafayette
00/080,23,Lafayette
00/081,23,Lafayette
00/082,23,Lafayette
00/083,23,Lafayette
00/084,23,Lafayette
00/085,23,Lafayette
00/086,23,Lafayette
00/087,23,Lafayette
00/088,23,Lafayette
00/089,23,Lafayette
00/090,23,Lafayette
00/097,23,Lafayette
00/101,23,Lafayette
00/102,23,Lafayette
00/103,23,Lafayette
00/104,23,Lafayette
00/105,23,Lafayette
00/106,23,Lafayette
00/107,23,Lafayette
00/108,23,Lafayette
00/110,23,Lafayette
00/111,23,Lafayette
00/114,23,Lafayette
00/115,23,Lafayette
00/116,23,Lafayette
00/117,23,Lafayette
00/118,23,Lafayette
00/119,23,Lafayette
00/120,23,Lafayette
00/121,23,Lafayette
00/124,23,Lafayette
00/125,23,Lafayette
00/128,23,Lafayette
00/133,23,Lafayette
00/134,23,Lafayette
00/135,23,Lafayette
00/136,23,Lafayette
00/001,24,Lafayette
00/002,24,Lafayette
00/003,24,Lafayette
00/004,24,Lafayette
00/005,24,Lafayette
00/006,24,Lafayette
00/007,24,Lafayette
00/009,24,Lafayette
00/010,24,Lafayette
00/011,24,Lafayette
00/012,24,Lafayette
00/013,24,Lafayette
00/014,24,Lafayette
00/015,24,Lafayette
00/016,24,Lafayette
00/017,24,Lafayette
00/018,24,Lafayette
00/019,24,Lafayette
00/020,24,Lafayette
00/021,24,Lafayette
00/022,24,Lafayette
00/023,24,Lafayette
00/024,24,Lafayette
00/050,24,Lafayette
00/051,24,Lafayette
00/052,24,Lafayette
00/053,24,Lafayette
00/054,24,Lafayette
00/055,24,Lafayette
00/056,24,Lafayette
00/057,24,Lafayette
00/058,24,Lafayette
00/059,24,Lafayette
00/060,24,Lafayette
00/061,24,Lafayette
00/063,24,Lafayette
00/064,24,Lafayette
00/065,24,Lafayette
00/066,24,Lafayette
00/068,24,Lafayette
00/112,24,Lafayette
00/113,24,Lafayette
00/123,24,Lafayette
00/129,24,Lafayette
00/06,24,St. Landry
00/08,24,St. Landry
00/09,24,St. Landry
00/09A,24,St. Landry
00/10,24,St. Landry
00/10A,24,St. Landry
00/11,24,St. Landry
00/11B,24,St. Landry
00/12,24,St. Landry
00/18,24,St. Landry
00/18A,24,St. Landry
00/18B,24,St. Landry
00/19,24,St. Landry
00/19A,24,St. Landry
00/20,24,St. Landry
00/20B,24,St. Landry
00/21,24,St. Landry
00/21A,24,St. Landry
00/22,24,St. Landry
00/22B,24,St. Landry
00/23,24,St. Landry
00/23A,24,St. Landry
00/24,24,St. Landry
00/24B,24,St. Landry
00/25,24,St. Landry
00/26,24,St. Landry
00/26A,24,St. Landry
00/32,24,St. Landry
00/32A,24,St. Landry
00/33,24,St. Landry
00/33A,24,St. Landry
00/34,24,St. Landry
00/34A,24,St. Landry
00/35,24,St. Landry
00/36,24,St. Landry
00/41,24,St. Landry
00/41A,24,St. Landry
00/42,24,St. Landry
00/43,24,St. Landry
00/44,24,St. Landry
00/44A,24,St. Landry
00/44B,24,St. Landry
00/50,24,St. Landry
00/50A,24,St. Landry
00/51,24,St. Landry
00/51A,24,St. Landry
00/24,24,St. Martin
00/25,24,St. Martin
00/33,24,St. Martin
00/34,24,St. Martin
04/01,25,Acadia
04/03,25,Acadia
04/05,25,Acadia
05/01,25,Acadia
05/03,25,Acadia
05/04,25,Acadia
00/260,25,Calcasieu
00/261,25,Calcasieu
00/262,25,Calcasieu
00/324,25,Calcasieu
00/327,25,Calcasieu
00/328,25,Calcasieu
00/329,25,Calcasieu
00/330,25,Calcasieu
00/332N,25,Calcasieu
00/332S,25,Calcasieu
00/333,25,Calcasieu
00/334,25,Calcasieu
00/335,25,Calcasieu
00/336,25,Calcasieu
00/337,25,Calcasieu
00/338,25,Calcasieu
00/339,25,Calcasieu
00/340,25,Calcasieu
00/362,25,Calcasieu
00/363,25,Calcasieu
00/364,25,Calcasieu
00/365,25,Calcasieu
00/366,25,Calcasieu
00/367,25,Calcasieu
00/368,25,Calcasieu
00/369,25,Calcasieu
00/370,25,Calcasieu
00/371N,25,Calcasieu
00/371S,25,Calcasieu
00/372,25,Calcasieu
00/800,25,Calcasieu
00/801,25,Calcasieu
00/860N,25,Calcasieu
00/860S,25,Calcasieu
00/861E,25,Calcasieu
00/861W,25,Calcasieu
*ALL/*ALL,25,Cameron
*ALL/*ALL,25,Jefferson Davis
01/01,26,Acadia
01/02,26,Acadia
01/03,26,Acadia
01/04,26,Acadia
01/05,26,Acadia
01/06,26,Acadia
01/07,26,Acadia
01/08,26,Acadia
02/01,26,Acadia
02/02,26,Acadia
02/03,26,Acadia
02/04,26,Acadia
02/05,26,Acadia
03/01,26,Acadia
03/02,26,Acadia
03/03,26,Acadia
03/04,26,Acadia
03/05,26,Acadia
03/07,26,Acadia
04/02,26,Acadia
04/04,26,Acadia
04/06,26,Acadia
05/02,26,Acadia
05/05,26,Acadia
06/01,26,Acadia
06/02,26,Acadia
06/03,26,Acadia
06/04,26,Acadia
06/05,26,Acadia
06/06,26,Acadia
06/07,26,Acadia
06/08,26,Acadia
06/10,26,Acadia
06/12,26,Acadia
06/13,26,Acadia
06/14,26,Acadia
06/15,26,Acadia
06/16,26,Acadia
07/02,26,Acadia
07/03,26,Acadia
07/04,26,Acadia
00/027,26,Lafayette
00/028,26,Lafayette
00/035,26,Lafayette
00/036,26,Lafayette
00/037,26,Lafayette
*ALL/*ALL,26,Vermilion
00/160E,27,Calcasieu
00/160W,27,Calcasieu
00/161,27,Calcasieu
00/162E,27,Calcasieu
00/162W,27,Calcasieu
00/163,27,Calcasieu
00/164,27,Calcasieu
00/165,27,Calcasieu
00/166E,27,Calcasieu
00/166W,27,Calcasieu
00/167,27,Calcasieu
00/300,27,Calcasieu
00/301,27,Calcasieu
00/302,27,Calcasieu
00/303,27,Calcasieu
00/304,27,Calcasieu
00/305,27,Calcasieu
00/306,27,Calcasieu
00/307,27,Calcasieu
00/308,27,Calcasieu
00/309E,27,Calcasieu
00/309W,27,Calcasieu
00/310,27,Calcasieu
00/311,27,Calcasieu
00/312,27,Calcasieu
00/313E,27,Calcasieu
00/313W,27,Calcasieu
00/314,27,Calcasieu
00/315E,27,Calcasieu
00/315W,27,Calcasieu
00/316E,27,Calcasieu
00/316W,27,Calcasieu
00/317,27,Calcasieu
00/318,27,Calcasieu
00/319N,27,Calcasieu
00/319S,27,Calcasieu
00/320E,27,Calcasieu
00/320W,27,Calcasieu
00/321,27,Calcasieu
00/322,27,Calcasieu
00/323,27,Calcasieu
00/325,27,Calcasieu
00/326,27,Calcasieu
00/331,27,Calcasieu
00/360,27,Calcasieu
00/361,27,Calcasieu
00/400,27,Calcasieu
00/401,27,Calcasieu
00/402,27,Calcasieu
00/403,27,Calcasieu
00/404,27,Calcasieu
00/405,27,Calcasieu
00/406,27,Calcasieu
00/407,27,Calcasieu
00/408,27,Calcasieu
00/440,27,Calcasieu
00/441,27,Calcasieu
00/460E,27,Calcasieu
00/461,27,Calcasieu
00/463,27,Calcasieu
00/464,27,Calcasieu
00/466E,27,Calcasieu
00/466W,27,Calcasieu
00/467,27,Calcasieu
00/468,27,Calcasieu
00/469,27,Calcasieu
00/664,27,Calcasieu
*ALL/*ALL,28,Allen
01/03,28,Avoyelles
02/01,28,Avoyelles
02/02A,28,Avoyelles
02/02C,28,Avoyelles
02/04,28,Avoyelles
02/04A,28,Avoyelles
02/05,28,Avoyelles
02/07,28,Avoyelles
02/08,28,Avoyelles
03/01,28,Avoyelles
03/01A,28,Avoyelles
03/03,28,Avoyelles
04/01,28,Avoyelles
04/02,28,Avoyelles
04/02A,28,Avoyelles
05/01A,28,Avoyelles
06/01,28,Avoyelles
06/02A,28,Avoyelles
07/01,28,Avoyelles
07/02,28,Avoyelles
07/03,28,Avoyelles
08/01,28,Avoyelles
08/02,28,Avoyelles
08/03,28,Avoyelles
08/03A,28,Avoyelles
09/01,28,Avoyelles
09/02,28,Avoyelles
09/02A,28,Avoyelles
09/03,28,Avoyelles
09/05,28,Avoyelles
10/02A,28,Avoyelles
10/03A,28,Avoyelles
10/03B,28,Avoyelles
11/01,28,Avoyelles
11/02,28,Avoyelles
*ALL/*ALL,28,Evangeline
00/C23,28,Rapides
00/C30,28,Rapides
00/C31,28,Rapides
00/C33,28,Rapides
00/C34,28,Rapides
00/C35,28,Rapides
00/C36 AK,28,Rapides
00/C36 LZ,28,Rapides
00/C37B,28,Rapides
00/C41,28,Rapides
00/C42,28,Rapides
00/S13,28,Rapides
00/S22,28,Rapides
00/S23,28,Rapides
00/45,28,St. Landry
